"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20190901","일","남","20대","서울특별시","강서구","화곡동","치킨","21"
"20190901","일","여","40대","서울특별시","강서구","화곡동","치킨","68"
"20190901","일","여","40대","서울특별시","강서구","방화동","치킨","5"
"20190901","일","여","40대","서울특별시","강서구","내발산동","치킨","78"
"20190901","일","여","40대","서울특별시","강서구","가양동","치킨","46"
"20190901","일","남","30대","서울특별시","강서구","가양동","치킨","41"
"20190901","일","남","30대","서울특별시","강서구","개화동","치킨","5"
"20190901","일","남","30대","서울특별시","강서구","내발산동","치킨","35"
"20190901","일","남","30대","서울특별시","강서구","화곡동","치킨","42"
"20190901","일","여","30대","서울특별시","강서구","등촌동","치킨","13"
"20190901","일","여","30대","서울특별시","강서구","가양동","치킨","22"
"20190901","일","여","20대","서울특별시","강서구","화곡동","치킨","13"
"20190901","일","여","20대","서울특별시","강서구","방화동","치킨","5"
"20190901","일","여","20대","서울특별시","강서구","등촌동","치킨","11"
"20190901","일","여","20대","서울특별시","강서구","내발산동","치킨","29"
"20190901","일","남","40대","서울특별시","강서구","내발산동","치킨","33"
"20190901","일","남","40대","서울특별시","강서구","등촌동","치킨","13"
"20190901","일","여","10대","서울특별시","강서구","화곡동","치킨","6"
"20190901","일","남","60대이상","서울특별시","강서구","등촌동","치킨","5"
"20190901","일","남","60대이상","서울특별시","강서구","내발산동","치킨","14"
"20190901","일","남","60대이상","서울특별시","강서구","가양동","치킨","10"
"20190901","일","여","10대","서울특별시","관악구","신림동","치킨","5"
"20190901","일","여","30대","서울특별시","관악구","봉천동","치킨","94"
"20190901","일","여","40대","서울특별시","관악구","봉천동","치킨","125"
"20190901","일","여","10대","서울특별시","관악구","봉천동","치킨","13"
"20190901","일","남","30대","서울특별시","관악구","봉천동","치킨","93"
"20190901","일","남","40대","서울특별시","관악구","신림동","치킨","5"
"20190901","일","여","60대이상","서울특별시","관악구","봉천동","치킨","23"
"20190901","일","남","30대","서울특별시","관악구","신림동","치킨","5"
"20190901","일","여","20대","서울특별시","관악구","봉천동","치킨","59"
"20190901","일","남","10대","서울특별시","관악구","봉천동","치킨","24"
"20190901","일","여","50대","서울특별시","관악구","봉천동","치킨","55"
"20190901","일","여","30대","서울특별시","관악구","신림동","치킨","5"
"20190901","일","남","50대","서울특별시","관악구","봉천동","치킨","35"
"20190901","일","여","20대","서울특별시","관악구","신림동","치킨","5"
"20190901","일","남","40대","서울특별시","관악구","봉천동","치킨","77"
"20190901","일","남","60대이상","서울특별시","관악구","신림동","치킨","5"
"20190901","일","남","60대이상","서울특별시","관악구","봉천동","치킨","17"
"20190901","일","남","20대","서울특별시","관악구","봉천동","치킨","97"
"20190901","일","여","40대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","여","60대이상","서울특별시","광진구","자양동","치킨","5"
"20190901","일","여","10대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","남","50대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","남","30대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","남","10대","서울특별시","광진구","구의동","치킨","5"
"20190901","일","여","20대","서울특별시","광진구","광장동","치킨","5"
"20190901","일","여","50대","서울특별시","광진구","중곡동","치킨","5"
"20190901","일","여","30대","서울특별시","광진구","중곡동","치킨","5"
"20190901","일","여","40대","서울특별시","광진구","능동","치킨","5"
"20190901","일","여","30대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","남","20대","서울특별시","광진구","광장동","치킨","5"
"20190901","일","남","20대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","남","40대","서울특별시","광진구","능동","치킨","5"
"20190901","일","여","50대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","여","20대","서울특별시","광진구","중곡동","치킨","5"
"20190901","일","여","20대","서울특별시","광진구","자양동","치킨","5"
"20190901","일","남","30대","서울특별시","구로구","개봉동","치킨","30"
"20190901","일","남","60대이상","서울특별시","구로구","궁동","치킨","5"
