,일련번호,노선명,기점,기점 경도,기점 위도,중기점,중기점 경도,중기점 위도,종점,종점 경도,종점 위도
209,210,전주천1L,월암교,127.19859450000001,35.779036100000006,색장동 902-2,127.18917140000002,35.7981417,치명자산성지주차장,127.16475,35.8054833
210,211,전주천2L,한벽교,127.16073940000001,35.8115574,덕진동2가 646-56,127.10659779999999,35.84219829999999,만경강 합류점,127.08211270000001,35.8914459
211,212,전주천2R,한벽교,127.16073940000001,35.8115574,덕진동2가 646-56,127.10659779999999,35.84219829999999,만경강 합류점,127.08375670000001,35.8911308
106,107,오공로L,중동 774-12(우리은행 전북혁신도시지점 앞),35.8329444,127.0621134,완산구 중동 299-2,35.8329444,127.0621134,만성동1167-4(대원제약 전주지점),35.8329444,127.0621134
107,108,오공로R,중동 774-12(우리은행 전북혁신도시지점 앞),35.8329444,127.0621134,완산구 중동 299-2,35.8329444,127.0621134,만성동1167-4(대원제약 전주지점),35.8329444,127.0621134
131,132,장승배기로2R,삼천동1가 305-14(거마로사거리),35.7924187,127.1168654,평화동2가 568-25,35.7924187,127.1168654,평화동2가 604-19(전주예심교회 앞),35.7924187,127.1168654
132,133,장승배기로3R,평화동2가 604-19(전주예심교회 앞),35.7936841,127.1259956,평화동1가 393-13,35.7936841,127.1259956,서서학동 295(뚜레쥬르 앞),35.7936841,127.1259956
133,134,장승배기로3L,삼천동1가 305-14(거마로사거리),35.7924187,127.1168654,평화동1가 583-15,35.7924187,127.1168654,서서학동 295(뚜레쥬르 앞),35.7924187,127.1168654
134,135,장승배기로4L,서서학동 295(뚜레쥬르 앞),35.8038125,127.1496814,서서학동 169-2,35.8038125,127.1496814,동서학동 290-3(거산황궁아파트 앞),35.8038125,127.1496814
135,136,장승배기로4R,서서학동 295(뚜레쥬르 앞),35.8038125,127.1496814,서서학동 169-2,35.8038125,127.1496814,동서학동 290-3(거산황궁아파트 앞),35.8038125,127.1496814
136,137,장승배기로5L,동서학동 290-3(거산황궁아파트 앞),35.805883,127.152522,동서학동 913-17,35.805883,127.152522,동서학동923-27,35.805883,127.152522
137,138,장승배기로5R,동서학동 290-3(거산황궁아파트 앞),35.805883,127.152522,동서학동 913-17,35.805883,127.152522,동서학동923-27,35.805883,127.152522
140,141,전주천서로l,동서학동886-10,35.8106424,127.1596458,서서학동 210-2,35.8106424,127.1596458,서완산동1가505(완산교),35.8106424,127.1596458
145,146,정여립로R,삼천동3가289-4,35.795854,127.0844002,삼천동3가 산33-3,35.795854,127.0844002,상림동 105-7,35.795854,127.0844002
171,172,콩쥐팥쥐로2L,만성동 771,35.8254203,127.0709983,중동 511-3,35.8254203,127.0709983,중동 831-45,35.8254203,127.0709983
172,173,콩쥐팥쥐로2R,만성동 771,35.8254203,127.0709983,중동 511-3,35.8254203,127.0709983,중동 831-45,35.8254203,127.0709983
175,176,틀못2길L,장동 1080(양현고 옆 사거리),35.8420312,127.0589075,장동 162-3,35.8420312,127.0589075,장동 1103(호반 212동 앞 사거리),35.8420312,127.0589075
176,177,틀못2길R,장동 1080(양현고 옆 사거리),35.8420312,127.0589075,장동 162-3,35.8420312,127.0589075,장동 1103(호반 212동 앞 사거리),35.8420312,127.0589075
177,178,틀못4길L,장동 1077(온빛중학교 옆 사거리),35.8431072,127.0582313,장동 산 182-1,35.8431072,127.0582313,장동 1083(이노팰리스 105동 앞 사거리),35.8431072,127.0582313
178,179,틀못4길R,장동 1077(온빛중학교 옆 사거리),35.8431072,127.0582313,장동 산 182-1,35.8431072,127.0582313,장동 1083(이노팰리스 105동 앞 사거리),35.8431072,127.0582313
212,213,아중천1L,우아동2가 897-5,35.8333835,127.1729249,우아2동 687-4,35.8333835,127.1729249,우아동2가 703-4(우아교),35.8333835,127.1729249
213,214,아중천1R,우아동2가 897-5,35.8333835,127.1729249,우아2동 687-4,35.8333835,127.1729249,우아동2가 703-4(우아교),35.8333835,127.1729249
216,217,만성Ⅰ-1L,여의동 855-21,35.8522613,127.0767687,양현초 앞,35.8522613,127.0767687,만성동 산 142-1,35.8522613,127.0767687
218,219,만성Ⅱ-1L,여의동 840-8,35.8513096,127.0790005,양현초 앞,35.8513096,127.0790005,만성동 412,35.8513096,127.0790005
220,221,만성Ⅱ-3L,만성동307-4,35.8483328,127.0806778,만성동 1292,35.8483328,127.0806778,만성동 1208,35.8483328,127.0806778
222,223,만성Ⅱ-4L,만성동 산 104-1,35.8458303,127.0760307,만성동 276,35.8458303,127.0760307,만성동 260-6,35.8458303,127.0760307
224,225,만성Ⅱ-5L,만성동 412,35.8446154,127.0728722,만성동 1292,35.8446154,127.0728722,만성동 194-36,35.8446154,127.0728722
227,228,만성Ⅱ-6R,만성동 1053,35.8425966,127.0716028,만성동 1320,35.8425966,127.0716028,만성동 157-3,35.8425966,127.0716028
228,229,에코시티Ⅰ-1L,전미동1가 593-3,35.8806392,127.129232,송천동2가 산 226-6,35.8806392,127.129232,송천동2가 67-3,35.8806392,127.129232
229,230,에코시티Ⅰ-1R,전미동1가 593-3,35.8806392,127.129232,송천동2가 산 226-6,35.8806392,127.129232,송천동2가 67-3,35.8806392,127.129232
230,231,에코시티Ⅱ-1L,송천동2가 117-25,35.8782069,127.1351314,송천동2가 135,35.8782069,127.1351314,송천동2가 117-9,35.8782069,127.1351314
248,249,에코시티Ⅲ-1L,전미동1가 10-15,35.8816097,127.134946,송천동2가 산 226-6,35.8816097,127.134946,송천동2가 135,35.8816097,127.134946
250,251,에코시티Ⅳ-1L,송천동2가 117-9,35.8782069,127.1351314,송천동2가 117-9,35.8782069,127.1351314,호성동2가 758-6,35.8782069,127.1351314
252,253,에코시티Ⅴ-1L,송천동2가 117-9,35.8782069,127.1351314,송천동2가 117-9,35.8782069,127.1351314,송천동2가 66-2,35.8782069,127.1351314
254,255,에코시티Ⅵ-1L,송천동2가 117-9,35.8782069,127.1351314,송천동2가 117-9,35.8782069,127.1351314,송천동2가 159-58,35.8782069,127.1351314
256,257,에코시티Ⅶ-1L,송천동2가 117-9,35.8782069,127.1351314,송천동2가 117-9,35.8782069,127.1351314,송천동2가 301-16,35.8782069,127.1351314
260,261,에코시티Ⅷ-1L,송천동2가 117-31,35.8782069,127.1351314,송천동2가 364-12,35.8782069,127.1351314,송천동2가 363,35.8782069,127.1351314
262,263,에코시티Ⅸ-1L,송천동2가 117-31,35.8782069,127.1351314,송천동2가 1293-63,35.8782069,127.1351314,송천동2가 117-24,35.8782069,127.1351314
264,265,에코시티Ⅹ-1L,송천동2가 346-8,35.8735128,127.1246601,송천동2가 343,35.8735128,127.1246601,송천동2가 117-7,35.8735128,127.1246601
