,baseDate,cctvCnt,cctvIns,manageNm,newAddr,oldAddr,pacNm,pacType,posx,posy,precinct,roadWidth,seq
24,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 덕진구 안골4길 20 정선어린이집,전라북도 전주시 덕진구 인후동1가 753-1,정선어린이집,어린이집,127.1568512,35.8416054,전주덕진경찰서,,222
25,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 원산정길 22 파란나라어린이집,전라북도 전주시 덕진구 산정동 290-2,파란나라어린이집,어린이집,127.1721122,35.8429388,전주덕진경찰서,,221
26,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 가리내로 590 해바라기어린이집,전라북도 전주시 덕진구 송천동1가 742,해바라기어린이집,어린이집,127.1088428,35.8612028,전주덕진경찰서,,220
27,2018-08-14,5.0,Y,전라북도 전주시,전라북도 전주시 덕진구 솔내5길 18 더조은어린이집,전라북도 전주시 덕진구 송천동1가 393-10,더조은어린이집,어린이집,127.1224081,35.8570659,전주덕진경찰서,,219
28,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 원고랑1길 13 동심어린이집,전라북도 전주시 덕진구 고랑동 726-1,동심어린이집,어린이집,127.085975,35.8735321,전주덕진경찰서,,218
29,2018-08-14,2.0,Y,전라북도 전주시,전라북도 전주시 덕진구 명주1길 31-5 동현어린이집,전라북도 전주시 덕진구 인후동2가 1543-19,동현어린이집,어린이집,127.1466706,35.8413654,전주덕진경찰서,,217
30,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 덕진구 덕용1길 53-3 사랑어린이집,전라북도 전주시 덕진구 동산동 599-1,사랑어린이집,어린이집,127.080942,35.871021,전주덕진경찰서,,216
31,2018-08-14,,N,전라북도 전주시,전라북도 전주시 덕진구 아중6길 24-4 신세계어린이집,전라북도 전주시 덕진구 우아동2가 895-5,신세계어린이집,어린이집,127.1715942,35.8329528,전주덕진경찰서,,215
32,2018-08-14,3.0,Y,전라북도 전주시,전라북도 전주시 덕진구 무삼지5길 18 아기별어린이집,전라북도 전주시 덕진구 인후동1가 901-3,아기별어린이집,어린이집,127.1635884,35.8273405,전주덕진경찰서,,214
33,2018-08-14,1.0,Y,전라북도 전주시,전라북도 전주시 덕진구 무삼지1길 14-3 아이들세상유치원,전라북도 전주시 덕진구 인후동1가 905-6,아이들세상어린이집,어린이집,127.162011,35.8253371,전주덕진경찰서,,213
34,2018-08-14,8.0,Y,전라북도 전주시,전라북도 전주시 완산구 평화8길 16-36 전주신성초등학교,전라북도 전주시 완산구 평화동2가 23-57,신성초등학교,초등학교,127.1343172,35.7904033,전주완산경찰서,,212
35,2018-08-14,4.0,Y,전라북도 전주시,전라북도 전주시 완산구 물왕멀로 72 전주동초등학교,전라북도 전주시 완산구 중노송동2가 399-1,전주동초등학교,초등학교,127.152227,35.8296233,전주완산경찰서,,211
